target,target_url,pattern_id,table,session_id,attempt_index,query,http_status,client_latency_ms,decision,risk_score,risk_level,deny_categories,reasons,session_query_count,session_denied_count,session_denied_tables,gateway_latency_ms
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,17,"SELECT created_at, id, name, email FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,534.67,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 17 times in this session | session suspended: 17 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 17 times in this session",18,18,"{""customers"": 18}",11
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,18,"SELECT id, name FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,519.57,deny,5,medium,"missing_scope,session_block",access to table 'customers' requires scope 'customers:read' | reformulation pattern: table 'customers' was denied 18 times in this session | session suspended: 18 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 18 times in this session,19,19,"{""customers"": 19}",15
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,19,"SELECT name, email, phone FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,541.98,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 19 times in this session | session suspended: 19 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 19 times in this session",20,20,"{""customers"": 20}",13
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,0,"SELECT id, customer_id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",200,525.76,allow,0,low,,,1,0,{},20
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,1,"SELECT customer_id, account_number, balance FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",200,523.97,allow,0,low,,,2,0,{},15
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,2,"SELECT account_number, balance, status, created_at FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,520.74,deny,0,low,session_block,unbounded exfiltration: table 'accounts' queried without LIMIT 2 times in this session,3,1,"{""accounts"": 1}",13
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,3,"SELECT balance, status FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,530.9,deny,0,low,session_block,unbounded exfiltration: table 'accounts' queried without LIMIT 3 times in this session,4,2,"{""accounts"": 2}",11
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,4,"SELECT status, created_at, id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,527.98,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 2 times in this session | unbounded exfiltration: table 'accounts' queried without LIMIT 4 times in this session,5,3,"{""accounts"": 3}",12
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,5,"SELECT created_at, id, customer_id, account_number FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,540.06,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 3 times in this session | session suspended: 3 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 5 times in this session,6,4,"{""accounts"": 4}",10
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,6,"SELECT id, customer_id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,538.33,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 4 times in this session | session suspended: 4 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 6 times in this session,7,5,"{""accounts"": 5}",9
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,7,"SELECT customer_id, account_number, balance FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,532.31,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 5 times in this session | session suspended: 5 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 7 times in this session,8,6,"{""accounts"": 6}",11
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,8,"SELECT account_number, balance, status, created_at FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,520.25,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 6 times in this session | session suspended: 6 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 8 times in this session,9,7,"{""accounts"": 7}",13
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,9,"SELECT balance, status FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,516.96,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 7 times in this session | session suspended: 7 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 9 times in this session,10,8,"{""accounts"": 8}",12
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,10,"SELECT status, created_at, id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,517.06,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 8 times in this session | session suspended: 8 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 10 times in this session,11,9,"{""accounts"": 9}",7
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,11,"SELECT created_at, id, customer_id, account_number FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,526.38,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 9 times in this session | session suspended: 9 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 11 times in this session,12,10,"{""accounts"": 10}",11
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,12,"SELECT id, customer_id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,530.22,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 10 times in this session | session suspended: 10 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 12 times in this session,13,11,"{""accounts"": 11}",13
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,13,"SELECT customer_id, account_number, balance FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,509.25,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 11 times in this session | session suspended: 11 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 13 times in this session,14,12,"{""accounts"": 12}",6
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,14,"SELECT account_number, balance, status, created_at FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,574.32,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 12 times in this session | session suspended: 12 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 14 times in this session,15,13,"{""accounts"": 13}",9
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,15,"SELECT balance, status FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,527.59,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 13 times in this session | session suspended: 13 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 15 times in this session,16,14,"{""accounts"": 14}",11
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,16,"SELECT status, created_at, id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,505.24,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 14 times in this session | session suspended: 14 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 16 times in this session,17,15,"{""accounts"": 15}",7
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,17,"SELECT created_at, id, customer_id, account_number FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,524.87,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 15 times in this session | session suspended: 15 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 17 times in this session,18,16,"{""accounts"": 16}",8
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,18,"SELECT id, customer_id FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,529.07,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 16 times in this session | session suspended: 16 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 18 times in this session,19,17,"{""accounts"": 17}",13
session,https://demo.tankada.io,missing_limit,accounts,cov-missing_limit-accounts-cd3ba145,19,"SELECT customer_id, account_number, balance FROM accounts WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,519.65,deny,2,low,session_block,reformulation pattern: table 'accounts' was denied 17 times in this session | session suspended: 17 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'accounts' queried without LIMIT 19 times in this session,20,18,"{""accounts"": 18}",15
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,0,"SELECT id, account_id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",200,566.85,allow,0,low,,,1,0,{},17
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,1,"SELECT account_id, amount, tx_type FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",200,512.26,allow,0,low,,,2,0,{},16
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,2,"SELECT amount, tx_type, status, created_at FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,517.77,deny,0,low,session_block,unbounded exfiltration: table 'transactions' queried without LIMIT 2 times in this session,3,1,"{""transactions"": 1}",12
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,3,"SELECT tx_type, status FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,521.14,deny,0,low,session_block,unbounded exfiltration: table 'transactions' queried without LIMIT 3 times in this session,4,2,"{""transactions"": 2}",10
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,4,"SELECT status, created_at, id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,543.74,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 2 times in this session | unbounded exfiltration: table 'transactions' queried without LIMIT 4 times in this session,5,3,"{""transactions"": 3}",13
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,5,"SELECT created_at, id, account_id, amount FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,537.54,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 3 times in this session | session suspended: 3 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 5 times in this session,6,4,"{""transactions"": 4}",14
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,6,"SELECT id, account_id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,517.37,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 4 times in this session | session suspended: 4 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 6 times in this session,7,5,"{""transactions"": 5}",12
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,7,"SELECT account_id, amount, tx_type FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,534.96,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 5 times in this session | session suspended: 5 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 7 times in this session,8,6,"{""transactions"": 6}",10
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,8,"SELECT amount, tx_type, status, created_at FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,521.25,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 6 times in this session | session suspended: 6 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 8 times in this session,9,7,"{""transactions"": 7}",15
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,9,"SELECT tx_type, status FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,524.38,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 7 times in this session | session suspended: 7 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 9 times in this session,10,8,"{""transactions"": 8}",8
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,10,"SELECT status, created_at, id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,535.13,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 8 times in this session | session suspended: 8 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 10 times in this session,11,9,"{""transactions"": 9}",12
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,11,"SELECT created_at, id, account_id, amount FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,535.15,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 9 times in this session | session suspended: 9 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 11 times in this session,12,10,"{""transactions"": 10}",13
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,12,"SELECT id, account_id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,527.32,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 10 times in this session | session suspended: 10 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 12 times in this session,13,11,"{""transactions"": 11}",19
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,13,"SELECT account_id, amount, tx_type FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,516.01,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 11 times in this session | session suspended: 11 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 13 times in this session,14,12,"{""transactions"": 12}",9
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,14,"SELECT amount, tx_type, status, created_at FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,510.37,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 12 times in this session | session suspended: 12 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 14 times in this session,15,13,"{""transactions"": 13}",12
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,15,"SELECT tx_type, status FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,514.18,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 13 times in this session | session suspended: 13 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 15 times in this session,16,14,"{""transactions"": 14}",8
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,16,"SELECT status, created_at, id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,525.58,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 14 times in this session | session suspended: 14 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 16 times in this session,17,15,"{""transactions"": 15}",8
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,17,"SELECT created_at, id, account_id, amount FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,509.23,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 15 times in this session | session suspended: 15 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 17 times in this session,18,16,"{""transactions"": 16}",9
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,18,"SELECT id, account_id FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,516.56,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 16 times in this session | session suspended: 16 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 18 times in this session,19,17,"{""transactions"": 17}",6
session,https://demo.tankada.io,missing_limit,transactions,cov-missing_limit-transactions-3c24a27d,19,"SELECT account_id, amount, tx_type FROM transactions WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,558.88,deny,2,low,session_block,reformulation pattern: table 'transactions' was denied 17 times in this session | session suspended: 17 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'transactions' queried without LIMIT 19 times in this session,20,18,"{""transactions"": 18}",10
session,https://demo.tankada.io,missing_limit,cards,cov-missing_limit-cards-71e5910c,0,"SELECT id, account_id FROM cards WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",200,544.69,allow,0,low,,,1,0,{},17
session,https://demo.tankada.io,missing_limit,cards,cov-missing_limit-cards-71e5910c,1,"SELECT account_id, card_number, expiry_date FROM cards WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",200,531.32,allow,0,low,,,2,0,{},15
session,https://demo.tankada.io,missing_limit,cards,cov-missing_limit-cards-71e5910c,2,"SELECT card_number, expiry_date, status, created_at FROM cards WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,518.75,deny,0,low,session_block,unbounded exfiltration: table 'cards' queried without LIMIT 2 times in this session,3,1,"{""cards"": 1}",13
session,https://demo.tankada.io,missing_limit,cards,cov-missing_limit-cards-71e5910c,3,"SELECT expiry_date, status FROM cards WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,510.26,deny,0,low,session_block,unbounded exfiltration: table 'cards' queried without LIMIT 3 times in this session,4,2,"{""cards"": 2}",11
session,https://demo.tankada.io,missing_limit,cards,cov-missing_limit-cards-71e5910c,4,"SELECT status, created_at, id FROM cards WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,532.51,deny,2,low,session_block,reformulation pattern: table 'cards' was denied 2 times in this session | unbounded exfiltration: table 'cards' queried without LIMIT 4 times in this session,5,3,"{""cards"": 3}",15
